activity_id,week,location_id,co_share_group
A001,22,PLAT:BET:S15:EB,g001
A001,22,PLAT:BET:S16:EB,g001
A001,22,PLAT:BET:S17:EB,g001
A001,22,SEC:BET:S15_S16:EB,g001
A001,22,SEC:BET:S16_S17:EB,g001
A001,23,PLAT:BET:S15:EB,g002
A001,23,PLAT:BET:S16:EB,g002
A001,23,PLAT:BET:S17:EB,g002
A001,23,SEC:BET:S15_S16:EB,g002
A001,23,SEC:BET:S16_S17:EB,g002
A002,2,PLAT:BET:S11:WB,g001
A002,2,PLAT:BET:S12:WB,g001
A002,2,PLAT:BET:S13:WB,g001
A002,2,SEC:BET:S11_S12:WB,g001
A002,2,SEC:BET:S12_S13:WB,g001
A003,11,PLAT:BET:H01:EB,g001
A003,11,PLAT:BET:H02:EB,g001
A003,11,PLAT:BET:S15:EB,g001
A003,11,PLAT:BET:S16:EB,g001
A003,11,SEC:BET:H01_H02:EB,g001
A003,11,SEC:BET:H02_S15:EB,g001
A003,11,SEC:BET:S15_S16:EB,g001
A003,12,PLAT:BET:H01:EB,g001
A003,12,PLAT:BET:H02:EB,g001
A003,12,PLAT:BET:S15:EB,g001
A003,12,PLAT:BET:S16:EB,g001
A003,12,SEC:BET:H01_H02:EB,g001
A003,12,SEC:BET:H02_S15:EB,g001
A003,12,SEC:BET:S15_S16:EB,g001
A003,13,PLAT:BET:H01:EB,g001
A003,13,PLAT:BET:H02:EB,g001
A003,13,PLAT:BET:S15:EB,g001
A003,13,PLAT:BET:S16:EB,g001
A003,13,SEC:BET:H01_H02:EB,g001
A003,13,SEC:BET:H02_S15:EB,g001
A003,13,SEC:BET:S15_S16:EB,g001
A003,18,PLAT:BET:H01:EB,g001
A003,18,PLAT:BET:H02:EB,g001
A003,18,PLAT:BET:S15:EB,g002
A003,18,PLAT:BET:S16:EB,g002
A003,18,SEC:BET:H01_H02:EB,g001
A003,18,SEC:BET:H02_S15:EB,g001
A003,18,SEC:BET:S15_S16:EB,g002
A003,19,PLAT:BET:H01:EB,g001
A003,19,PLAT:BET:H02:EB,g001
A003,19,PLAT:BET:S15:EB,g002
A003,19,PLAT:BET:S16:EB,g002
A003,19,SEC:BET:H01_H02:EB,g001
A003,19,SEC:BET:H02_S15:EB,g001
A003,19,SEC:BET:S15_S16:EB,g002
A004,20,PLAT:ALP:H01:EB,g001
A004,20,PLAT:ALP:S03:EB,g001
A004,20,PLAT:ALP:S04:EB,g001
A004,20,SEC:ALP:S03_S04:EB,g001
A004,20,SEC:ALP:S04_H01:EB,g001
A004,22,PLAT:ALP:H01:EB,g001
A004,22,PLAT:ALP:S03:EB,g001
A004,22,PLAT:ALP:S04:EB,g001
